fund_house,scheme_type,scheme_category,scheme_code,scheme_name,cag,risk
UTI Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,102009,UTI-  Liquid Cash Plan- Discontinued - Regular Plan -Growth,2600.6417092307693,71054.48395292698
UTI Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,102012,UTI-  Liquid Cash Plan - Regular Plan - Growth Option,2759.6660369230767,96173.29933055678
SBI Mutual Fund,Open Ended Schemes,Debt Scheme - Medium Duration Fund,102053,SBI MAGNUM MEDIUM DURATION FUND - REGULAR PLAN - GROWTH,29.3918,18.50217622181818
SBI Mutual Fund,Open Ended Schemes,Debt Scheme - Dynamic Bond,102205,SBI Dynamic Bond Fund - REGULAR PLAN - Growth,21.15819318181818,8.973194334271696
HDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,102452,HDFC Low Duration Fund- Retail Growth,35.804627272727274,17.821357563801655
SBI Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,102503,SBI  SAVINGS FUND - REGULAR PLAN - GROWTH,26.42569318181818,9.68546331472624
SBI Mutual Fund,Open Ended Schemes,Debt Scheme - Credit Risk Fund,102505,SBI CREDIT RISK FUND - REGULAR PLAN - GROWTH,27.02315,10.738355547954544
UTI Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,102510,UTI - GILT FUND - Regular Plan - Growth Option,37.65251136363636,31.122627008279952
UTI Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,102512,UTI - GILT FUND - Discontinued PF Plan - Growth Option,27.99594772727272,17.205879859313022
UTI Mutual Fund,Open Ended Schemes,Debt Scheme - Ultra Short Duration Fund,102532,UTI - Ultra Short Term Fund - Regular Plan - Growth Option,2733.638768181818,85917.04523618537
UTI Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,102540,UTI - Treasury Advantage Fund - Discontinued Growth Option,4158.619593181818,135818.71220301837
UTI Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,102544,UTI - Treasury Advantage Fund - Regular Plan - Growth Option,2277.876843181819,47650.29503334926
