fund_house,scheme_type,scheme_category,scheme_code,scheme_name,cag,risk
Principal Mutual Fund,Open Ended Schemes,Hybrid Scheme - Equity Savings,101498,Principal Equity Savings Fund - Growth Option,32.66253409,10.51159783
JM Financial Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,101520,JM Short Term Fund - Regular Plan - Growth Option,31.9109,8.038206276
JM Financial Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,101521,JM Short Term Fund - Growth Option,23.37523864,4.406424206
HDFC Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,101525,HDFC Index Fund-Nifty 50 Plan-Growth Plan,86.583225,185.224247
Sundaram Mutual Fund,Open Ended Schemes,Equity Scheme - Focused Fund,101537,Sundaram Select Focus-Growth,149.8731364,579.2188729
Sundaram Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,101539,Sundaram Mid Cap Fund -Growth,416.1923591,4780.212505
Tata Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,101548,Tata Short Term Bond Fund -Regular Plan- Growth Option,31.00883636,9.234433339
HDFC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Equity Savings,101585,HDFC Equity Savings Fund -GROWTH,32.15866136,17.50856195
Canara Robeco Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,101588,Canara Robeco Income Fund - Regular Plan - Growth,35.59054545,19.65560835
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,101592,Aditya Birla Sun Life MIDCAP Fund-Growth,257.0911364,1632.944515
HSBC Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,101594,HSBC Large Cap Equity Fund - Growth,179.1186023,748.3041998
HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,101599,HSBC Short Duration Fund - Growth,27.16489091,5.358812117
ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,101619,ICICI Prudential Savings Fund - Growth,325.8106182,1755.790299
DSP Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,101635,DSP Top 100 Equity Fund - Regular Plan - Growth,180.3111364,535.5564697
Franklin Templeton Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,101656,Franklin India Dynamic Asset Allocation Fund of Funds-Growth,72.01791364,73.2557133
Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,101665,Nippon India Short Term Fund-Growth Plan,31.95496591,14.97993023
Tata Mutual Fund,Open Ended Schemes,Equity Scheme - Value Fund,101672,Tata Equity P/E Fund Regular Plan -(Growth Option),114.0402568,465.3815106
HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,101685,HSBC Debt Fund - Growth,27.81931591,9.265282394
Tata Mutual Fund,Open Ended Schemes,Debt Scheme - Medium Duration Fund,101703,Tata Medium Term Fund Regular Plan - Growth,25.28537273,4.098051637
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Dividend Yield Fund,101738,Aditya Birla Sun Life Dividend Yield Fund - Growth - Regular Plan,151.4561364,292.603601
ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,101758,ICICI Prudential Short Term Fund - Growth Option,35.36408864,20.9255006
HDFC Mutual Fund,Open Ended Schemes,Equity Scheme - Multi Cap Fund,101762,HDFC Equity Fund - Growth Option,548.8933864,7667.32888
HDFC Mutual Fund,Open Ended Schemes,Equity Scheme - Value Fund,101764,HDFC Capital Builder Value Fund - Growth Option,245.58075,1649.583039
Tata Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,101766,Tata Infrastructure Fund-Regular Plan- Growth,49.22709091,48.88325351
ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme - Floater Fund,101802,ICICI Prudential Floating Interest Fund - Growth,254.3707386,966.4563943
JM Financial Mutual Fund,Open Ended Schemes,Debt Scheme - Dynamic Bond,101806,JM Dynamic Debt Fund - Regular Plan - Growth Option,26.10129091,9.981056726
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Hybrid Scheme - Conservative Hybrid Fund,101818,Aditya Birla Sun Life Regular Savings Fund - Growth / Payment - Regular Plan,35.38365909,16.4141323
Tata Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,101824,Tata Large & Mid Cap Fund- Regular Plan - Growth,176.6008364,592.696687
LIC Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,101830,LIC MF Savings Fund-Regular Plan-Growth,25.77922955,7.590218228
